I-94	North Dakota	Bismarck, Dickinson, Fargo, Jamestown, Mandan, Valley City
I-94	Wisconsin	Brookfield, Delafield, Eau Claire, Hudson, Kenosha, Madison, Menomonie, Milwaukee, Oak Creek, Pleasant Prairie, Tomah, Waukesha, Wauwatosa, West Allis
I-94	Michigan	Albion, Allen Park, Ann Arbor, Battle Creek, Benton Heights, Dearborn, Detroit, Eastpointe, Fair Plain, Harper Woods, Kalamazoo, Marshall, Portage, Romulus, Roseville, St. Clair Shores, Taylor, Ypsilanti
I-94	Minnesota	Alexandria, Brooklyn Center, Brooklyn Park, Fargo, Fergus Falls, Lake Elmo, Maple Grove, Maplewood, Minneapolis, Monticello, Moorhead, Oakdale, Otsego, St. Paul, Woodbury
I-94	Montana	Miles City
I-94	Illinois	Calumet City, Chicago, Deerfield, Dolton, Glencoe, Gurnee, Lake Forest, Lincolnshire, Lincolnwood, Morton Grove, Northbrook, Northfield, Skokie, South Holland, Waukegan, Wilmette
I-94	Indiana	Chesterton, Lake Station, Portage
I-95	Florida	Boca Raton, Boynton Beach, Cocoa West, Dania Beach, Daytona Beach, Deerfield Beach, Delray Beach, Edgewater, Fort Lauderdale, Fort Pierce, Fort Pierce South, Golden Glades, Hallandale, Hollywood, Ives Estates, Jacksonville, Jupiter, Lake Worth, Lantana, Melbourne, Miami, Mims, New Smyrna Beach, Norland, North Miami, North Miami Beach, Oakland Park, Ojus, Ormond Beach, Palm Bay, Palm Beach Gardens, Palm City, Palm Coast, Pinewood, Pompano Beach, Port Orange,Port St. Lucie, Riviera Beach, Rockledge, Titusville, West Little River, West Melbourne, West Palm Beach, West Vero Corridor
I-95	Maine	Auburn, Augusta, Bangor, Biddeford, Lewiston, Old Town, Portland, Saco, South Portland, Waterville
I-95	South Carolina	Dillon
I-95	North Carolina	Dunn, Fayetteville, Hope Mills, Lumberton, Roanoke Rapids, Rocky Mount, Selma, Smithfield, Wilson
I-95	Virginia	Alexandria, Ashland, Bellwood, Bensley, Chester, Colonial Heights, Dale City, Emporia, Franconia, Fredericksburg, Glen Allen, Huntington, Lorton, Newington, Petersburg, Richmond, Rose Hill, Springfield, Woodbridge
I-95	Georgia	Dock Junction, Kingsland, Pooler, Richmond Hill, Savannah, St. Marys
I-95	Connecticut	Branford Center, Bridgeport, East Haven, Groton, Milford city, New Haven, New London, Norwalk, Orange, Stamford, Stratford, West Haven, Westport
I-95	Maryland	Aberdeen, Adelphi, Arbutus, Baltimore, Beltsville, Calverton, Edgewood, Elkridge, Elkton, Hillandale, Joppatowne, Laurel, North Laurel, Rosedale, Rossville, Savage-Guilford, White Marsh
I-95	New Jersey	Carlstadt, Carteret, East Brunswick, East Rutherford, Edison, Elizabeth, Ewing, Fords, Fort Lee, Kearny, Linden, Lyndhurst, Milltown, New Brunswick, New York, Newark, Ridgefield, Ridgefield Park, Rutherford, Secaucus, Teaneck, Woodbridge
I-95	Massachusetts	Amesbury, Attleboro, Burlington, Danvers, Dedham, Lexington, Lynnfield, Needham, Newburyport, Newton, Norwood, Pawtucket, Peabody, Reading, Wakefield, Waltham, Wellesley, Woburn
I-95	Pennsylvania	Boothwyn, Chester, Folcroft, Philadelphia, Ridley Park, Woodlyn
I-95	Rhode Island	Cranston, Pawtucket, Providence, Warwick, West Warwick
I-95	New York	Harrison, Larchmont, Mamaroneck, New Rochelle, New York, Pelham Manor, Port Chester, Rye
